ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,weekday,net_xyz_vs_,net_xyz_vs_other_card,YearMonth,YearMonth_str
Big Street ATM,2011-01-01,50,20,30,123800,41700,82100,Saturday,Hindu_festival,True,WHH,Saturday,-10,-10,2011-01,2011-01
Mount Road ATM,2011-01-01,253,67,186,767900,270900,497000,Saturday,Christain_festival,True,WHH,Saturday,-119,-119,2011-01,2011-01
Airport ATM,2011-01-01,98,56,42,503400,347700,155700,Saturday,Christain_festival,True,WHH,Saturday,14,14,2011-01,2011-01
KK Nagar ATM,2011-01-01,265,159,106,945300,532600,412700,Saturday,Christain_festival,True,WHH,Saturday,53,53,2011-01,2011-01
Christ College ATM,2011-01-01,74,25,49,287700,148200,139500,Saturday,Christain_festival,True,WHH,Saturday,-24,-24,2011-01,2011-01
Christ College ATM,2011-01-02,80,24,56,300000,95600,204400,Sunday,National_holiday,True,HHW,Sunday,-32,-32,2011-01,2011-01
Airport ATM,2011-01-02,67,53,14,268600,213300,55300,Sunday,National_holiday,True,HHW,Sunday,39,39,2011-01,2011-01
KK Nagar ATM,2011-01-02,260,155,105,809400,456200,353200,Sunday,National_holiday,True,HHW,Sunday,50,50,2011-01,2011-01
Big Street ATM,2011-01-02,17,5,12,52800,20900,31900,Sunday,National_holiday,True,HHW,Sunday,-7,-7,2011-01,2011-01
Mount Road ATM,2011-01-02,194,50,144,529300,171700,357600,Sunday,National_holiday,True,HHW,Sunday,-94,-94,2011-01,2011-01
Big Street ATM,2011-01-03,24,21,3,88100,77100,11000,Monday,National_holiday,,WWW,Monday,18,18,2011-01,2011-01
Mount Road ATM,2011-01-03,246,115,131,897100,462600,434500,Monday,National_holiday,,WWW,Monday,-16,-16,2011-01,2011-01
Airport ATM,2011-01-03,109,90,19,603900,501800,102100,Monday,National_holiday,,WWW,Monday,71,71,2011-01,2011-01
KK Nagar ATM,2011-01-03,309,232,77,1333100,1010600,322500,Monday,National_holiday,,WWW,Monday,155,155,2011-01,2011-01
Christ College ATM,2011-01-03,108,46,62,522800,210900,311900,Monday,National_holiday,,WWW,Monday,-16,-16,2011-01,2011-01
Christ College ATM,2011-01-04,143,41,102,737400,238000,499400,Tuesday,National_holiday,,WWW,Tuesday,-61,-61,2011-01,2011-01
Airport ATM,2011-01-04,113,80,33,541600,418400,123200,Tuesday,National_holiday,,WWW,Tuesday,47,47,2011-01,2011-01
KK Nagar ATM,2011-01-04,225,175,50,999400,798800,200600,Tuesday,National_holiday,,WWW,Tuesday,125,125,2011-01,2011-01
